,neighborhood,tree_count,stormwater_benefits_dollar_value,property_value_benefits_dollarvalue,energy_benefits_electricity_dollar_value,energy_benefits_gas_dollar_value,air_quality_benfits_total_dollar_value,co2_benefits_dollar_value,overall_benefits_dollar_value,Neighborhood_2010_AREA,Neighborhood_2010_ACRES
44,Larimer,1.0588481968129717,7.401476130099386,46.36048044625563,8.629125302009058,31.186128438852265,5.550554339822933,0.7101149972009749,99.6775297922201,12407882.0,286.16
45,Lincoln Place,0.4015829324091656,4.494514713018348,19.659090577085554,4.81899070028672,16.721379602400045,3.051001329008086,0.39891796544810176,49.14389488723728,27425090.0,632.497
46,Lincoln-Lemington-Belmar,2.8538907859304294,32.864651162497,170.28237741996404,39.543518114147915,137.9012365399815,21.754690152813495,2.6697625459724614,405.0233741013551,7809355.5,180.105
47,Lower Lawrenceville,1.8017887637847694,7.94869309755705,86.3191337869311,9.073592350533232,35.01166308647809,6.9226115801849595,0.9822870541634156,146.25798095584534,11984375.0,276.392
48,Manchester,3.8481672476972255,20.151249650313503,171.85344277886065,25.568561876020922,95.084738979236,15.0764763276805,1.8856160675435678,329.3899755024566,7785965.5,179.566
49,Marshall-Shadeland,3.1846918878070833,26.93954973123098,152.65746044346972,29.497258083912925,103.45559390940522,19.228211987520073,2.6613596130012738,334.4394337685061,6426350.5,148.209
50,Middle Hill,1.7235400901544047,6.298508784685216,63.61664808227599,8.393213834261855,33.52908647208041,5.0503833902373545,0.6710181034151492,117.55885866689216,8503223.0,196.108
51,Morningside,1.5469982128099593,11.28982209007046,66.8897257774055,12.805551690573523,46.86685296955075,8.444917938279705,1.1249997196244514,147.20416015355244,10650824.0,245.637
52,Mount Washington,1.1372091277073564,7.790997121610255,41.79092378878711,8.331179258207563,31.16122668322435,6.14766779137351,0.7696533721783176,95.87281591707966,31760998.0,732.495
53,Mt. Oliver,0.1962975266511642,1.3674854566932926,9.676565167265123,1.466094984548093,5.196647372902032,0.8796146604107753,0.1272473099747682,18.71365495181651,2871538.2,66.226
54,New Homestead,0.350480098995943,4.9197214411600205,17.952835120999417,4.914405626434592,17.360606265020948,3.6529705952530054,0.46935306546061023,49.269892114323696,22145166.0,510.728
55,North Oakland,2.3886815164073734,20.43145673992736,114.52952222647885,21.849662076192192,78.67203043388967,15.348207015540979,1.9278431022445024,252.75872159424486,13904629.0,320.679
56,North Shore,2.3382936609679303,9.554516757670957,134.6885770888891,13.30378916378186,57.61619558403801,9.167642587766759,1.1770297435673558,225.5077509256107,8455805.0,195.014
57,Northview Heights,0.02976810645074867,0.29438364459594757,2.1376315845354688,0.4348679873658699,1.566672553212475,0.20493498034714575,0.02572732703617321,4.664218077088481,8739570.0,201.558
58,Oakwood,0.5678486559886431,6.0436137002520764,26.181563763706233,6.88205570368495,25.57458767079641,4.49530531605144,0.5037069099076585,69.68083306443799,7024962.0,162.015
59,Overbrook,0.4707932124222682,4.5454810438277375,23.11810158808632,5.213275750857173,17.42248345196917,2.9340829266167545,0.43609516932917436,53.66951993070517,23393388.0,539.515
60,Perry North,1.2707165300967285,15.501640037587972,72.39766424425513,16.59734295650779,58.96359598663063,11.026583246290324,1.3942636606743577,175.8640891010576,33781248.0,779.088
61,Perry South,0.582818710715612,5.766516975800251,31.484221702602365,6.401977684047368,22.67113681219913,4.006128081701041,0.5342949275571989,70.86427618388309,25220622.0,581.656
62,Point Breeze,1.9993959996592816,26.034186318198884,102.80580779749836,25.48293675555728,88.26997368264351,18.66219478535847,2.4348114527740683,263.52015322435295,27997334.0,645.695
63,Point Breeze North,3.009016165980161,27.5479205295343,129.01702052921218,29.777624230865822,106.69377041362621,19.49267285058012,2.6353160534939355,315.16432460733,7968760.0,183.781
64,Polish Hill,1.6251519761481454,5.624965252578951,52.841627523926576,6.298948812155766,25.382810920031492,4.636214186439387,0.6141728873038617,95.39873958241213,7097053.0,163.677
65,Regent Square,3.460487378923368,45.62869908925649,188.76111686581496,45.65353721961087,161.49868752529804,31.96333884049105,4.0915951988384505,477.5969747393046,5362860.0,123.682
66,Ridgemont,0.12655077427982064,1.1665049540939343,6.148446955306022,1.3963563668102033,4.777440733190156,0.6690031410164559,0.08349486533986138,14.241247015754897,10278895.0,237.059
67,Shadyside,2.529960952805588,22.560199392966847,126.73914247586008,24.71434059277059,89.36402055170201,16.695063073900652,2.183700816525459,281.935121938407,25673624.0,592.104
68,Sheraden,0.6065108149442866,5.2447149446919745,23.917583415434983,5.874110290632858,21.61745808028588,4.159826188119309,0.5064342631651358,61.170791197500876,24807354.0,572.125
69,South Oakland,0.6823891576624959,3.4698952575976687,28.527094740974622,3.981745913811572,14.867663624573078,2.6372243395111594,0.33005017458596253,53.81367405106125,14169730.0,326.793
70,South Shore,0.014684179998678425,0.016296999608152656,0.16573435753188304,0.024581131149624454,0.10881232030748673,0.017481471160564168,0.002015418233140726,0.33492169799047,5905659.5,136.201
71,South Side Flats,2.6780682666365223,10.100083219361274,112.21314153855995,12.472628983709852,50.472984868822074,8.761686527953715,1.1708456493561028,193.45633885526854,26083320.0,601.553
72,South Side Slopes,0.4667500303930252,2.2669337135540433,14.448459509279056,2.6521659113428857,10.027004026390376,1.8263463567238236,0.2300192926643903,31.272844340744456,19973024.0,460.632
73,Spring Garden,0.2946075487518838,1.2582641557410115,13.061191802416264,1.8344897049629305,7.270128167497196,1.0816096881104835,0.14499146847568128,24.650674987216526,7653279.5,176.506
74,Spring Hill-City View,0.2569392116413228,1.546660119047151,10.984832515439082,2.0140607229821255,7.759568985256917,1.2510921120419505,0.15236849108683936,23.70858294584117,17550592.0,404.765
75,Squirrel Hill North,2.5459699623893695,42.47138275063663,150.61438334727916,39.54789135334568,135.0844071979448,29.528303934190724,3.799725187889121,401.04915152958205,34078712.0,785.948
76,Squirrel Hill South,2.9077400967111795,38.099419381600015,166.78983048648584,38.252499101862355,133.72493654403297,27.01441052129332,3.4269202466819033,407.2856187819496,74470128.0,1717.485
77,St. Clair,0.06021526958877989,0.7151508521549038,5.006376056530095,0.8663002442253005,3.088547761284593,0.5022174776222897,0.06279162526184912,10.241384017086084,8640989.0,199.285
78,Stanton Heights,1.3457042201368978,21.060468874471578,90.75478510585269,20.97357349076956,72.92200508760217,14.614757764699824,1.9759640985205627,222.03990124574256,20492582.0,472.615
79,Strip District,1.1666461991894879,3.2300345342939907,46.987167834638704,4.31743480760702,18.61380866200195,2.9274851823005887,0.39274596695099157,76.46867698778006,16947852.0,390.864
80,Summer Hill,0.26231460737883905,2.688118421946034,16.639207619663317,2.9962031667601137,10.562766079325945,1.9096320538098681,0.29982062362343925,35.09574796512918,12232021.0,282.104
81,Swisshelm Park,0.7680466661265495,11.251118609652263,40.826794219635005,10.453937892200791,33.87677995832935,7.595162127772387,1.1133935244437208,104.74859913132529,13379806.0,308.575
82,Terrace Village,1.1829850352393043,4.771034934769814,58.28526824510763,6.578413728102761,27.25571045062985,4.075407950441572,0.5126710345926639,101.47850634361451,9529806.0,219.783
83,Troy Hill,0.801068090787717,1.2590915658748603,22.070891377304527,1.7328763670748115,7.67677054189879,1.0667442999489243,0.12960213048632946,33.935976282589316,10717292.0,247.17
84,Upper Hill,0.8649529992493799,6.114436485860206,33.413268480578324,7.446975013389193,26.585683404193333,4.390045764413492,0.5441042796596549,78.49451342809556,8722606.0,201.167
85,Upper Lawrenceville,1.2444833665579664,8.417684988669604,75.58007142662646,9.504245639716327,36.16963976475792,7.03664980614598,0.9567868994410692,137.665078525341,11288746.0,260.349
86,West End,0.7304999261728798,4.083605890925608,42.23483422929227,4.365905824747821,16.912579074860673,3.3797181199064497,0.48665592872836627,71.22071365118659,5579501.0,128.679
87,West Oakland,0.5636978579481398,1.7021914117873629,23.93700054911875,2.3283026113914373,9.490513184941317,1.4181899547614907,0.183087757861563,39.05928546985864,5999801.5,138.372
88,Westwood,0.5707749730904319,6.871909202619074,27.827924423168234,7.036230365058694,23.68537582395793,4.350946712679945,0.5940171039111343,70.36640363137889,19295586.0,445.009
89,Windgap,0.39748310696795386,4.556557680479005,21.14097611172157,4.984785263396186,17.650927660996654,3.305332605352503,0.4132874125742052,51.817759317359055,11563175.0,266.678
